meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Quality Engineering,9,Communications Development and Delivery,Candidate Relationship Management,management ,18,12,"english, french",full time,10-Senior Analyst,SAP,google cloud,btech,IN,optional,No,series,yes
Java proect KT call,Business Interlock Manager,Software Engineering > Quality Engineering Architecture,5,Advance Front End Development NodeJs,Avanade Scrum Project Management,management ,11,11,"english, french",full time,11-Analyst,Microsoft backend,Azure,bca,IN,optional,No,instance,yes
people lead connect - discuss queries,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,25,Microsoft Azure Machine Learning,Agile Team Practices,management ,18,10,"english, hindi",full time,10-Senior Analyst,Google cloud,google cloud,mba,IN,required,No,instance,yes
java training call,custom software engineering analyst,Software Engineering > Packaged Application Development,13,Behavioral Sciences,Quality Engineering Strategy Implementation,management ,4,6,"english, japanese",full time,12-Associate,AWS,Azure,btech,IN,optional,yes,series,yes
java training call,People Advisor Analyst,Software Engineering > Custom Software Engineering,6,Advance Front End Development NodeJs,Vendor Management,management ,17,11,"english, german",full time,10-Senior Analyst,Azure,google cloud,mca,PH,required,No,series,yes
Java proect KT call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,21,Microsoft Functional Testing,Agile Team Practices,Azure,17,12,"english, german",full time,10-Senior Analyst,Microsoft backend,Java,mca,IN,optional,yes,instance,no
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,16,Java Enterprise Edition,Architectural Design,Azure,8,10,"english, chinese",full time,12-Associate,Cloud,dot net,btech,PH,required,yes,instance,yes
new vendor onboarding call,Business Interlock Manager,Software Engineering > Quality Engineering,25,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),java,18,6,"english, french",full time,11-Analyst,AWS,Java,btech,US,optional,yes,series,no
troubleshooting call - login issue,Vendor Management Specialist,Software Engineering > Custom Software Engineering,16,Business Operation Management,Angular,management ,10,12,"english, french",part time,11-Analyst,Azure,SAP,bca,US,optional,yes,instance,yes
User login issue - client call,Business Interlock Manager,Training & Development > Business Interlock,5,SAP ABAP Development,Architectural Design,Selenium,1,8,"english, hindi",full time,11-Analyst,Google cloud,SAP,mba,PH,required,No,instance,no
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Quality Engineering Architecture,10,.NET Architecture,Jakarta Enterprise Beans,AWS,16,11,"english, german",full time,10-Senior Analyst,Google cloud,angular,btech,IN,required,yes,instance,yes
Test team status call,custom software engineering analyst,Human Resources > People Advisor,24,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),front end,16,10,"english, french",full time,10-Senior Analyst,Google cloud,google cloud,btech,IN,optional,No,instance,yes
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,25,Automated Testing,Avanade Scrum Project Management,Azure,11,11,"english, french",full time,11-Analyst,project management,management,mca,IN,optional,yes,series,yes
java training call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,24,Angular,Architectural Design,java,13,11,"english, german",full time,11-Analyst,Azure,Azure,mca,US,optional,yes,instance,yes
troubleshooting call - login issue,custom software engineering associate manager,Software Engineering > Custom Software Engineering,13,Java Enterprise Edition,ASP.NET MVC,Selenium,4,12,"english, french",full time,6-Senior Manager,project management,dot net,mba,IN,optional,No,instance,yes
people lead connect - discuss queries,custom software engineering analyst,Human Resources > People Advisor,17,ASP.NET MVC,Angular,Azure,18,5,"english, hindi",full time,11-Analyst,SAP,dot net,btech,CN,required,yes,instance,no
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,27,Automated Testing,Avanade Scrum Project Management,Selenium,9,10,"english, japanese",full time,11-Analyst,AWS,dot net,bca,US,required,No,instance,yes
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,19,Microsoft ASP.NET,ASP.NET MVC,Azure,11,3,"english, hindi",full time,12-Associate,Cloud,google cloud,btech,IN,optional,No,instance,yes
User login issue - client call,custom software engineering associate manager,Software Engineering > Quality Engineering,2,Angular,Jakarta Enterprise Beans,SAP,11,4,"english, german",full time,8-Associate Manager,Google cloud,google cloud,bca,CN,required,No,series,yes
Agile scrum KT call,Business Interlock Manager,Training & Development > Business Interlock,22,Stakeholder Management,SAP for Utilities ,SAP,17,8,"english, french",full time,12-Associate,project management,angular,btech,IN,required,No,instance,no
weekly status call ,Quality Engineering Associate Manager,Human Resources > People Advisor,25,Communications Development and Delivery,Culture Strategy,management ,8,12,"english, japanese",full time,11-Analyst,Cloud,angular,btech,IN,optional,yes,series,yes
weekly status call ,Tech Architecture Manager,Training & Development > Business Interlock,4,Behavioral Sciences,SAP for Utilities ,Google cloud,7,5,"english, japanese",full time,11-Analyst,Microsoft frontend,Java,btech,IN,optional,No,instance,no
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,17,Business Operation Management,IT Troubleshooting,Google cloud,3,3,"english, hindi",part time,12-Associate,Cloud,Java,btech,PH,optional,No,instance,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,12,.NET Architecture,ASP.NET MVC,Azure,9,11,"english, french",part time,12-Associate,Microsoft frontend,management,mca,IN,required,No,instance,no
people lead connect - discuss queries,Business Interlock Manager,Technology & Information Architectures > Technology Architecture,19,Automated Testing,Microsoft Avanade Agile Framework (AAF),management ,11,12,"english, hindi",full time,10-Senior Analyst,project management,SAP,mca,PH,required,No,series,yes
Agile scrum KT call,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,28,Microsoft Functional Testing,IT Troubleshooting,Selenium,17,10,"english, french",full time,11-Analyst,SAP,dot net,mba,PH,required,No,instance,no
java training call,custom software engineering analyst,Software Engineering > Custom Software Engineering,6,Applications Architecture,ASP.NET MVC,Azure,2,10,"english, japanese",full time,12-Associate,Google cloud,Azure,mba,CN,required,yes,instance,yes
troubleshooting call - login issue,Tech Architecture Manager,Human Resources > Talent Strategy,29,Microsoft Azure Machine Learning,Jakarta Enterprise Beans,AWS,1,10,"english, french",full time,11-Analyst,AWS,dot net,mba,IN,optional,yes,instance,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,20,Applications Architecture,Architectural Design,AWS,1,11,"english, japanese",full time,10-Senior Analyst,Azure,SAP,btech,CN,optional,yes,instance,yes
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,22,ASP.NET MVC,Amazon Web Services (AWS),Google cloud,16,11,"english, hindi",part time,8-Associate Manager,Microsoft backend,google cloud,mba,IN,required,No,instance,no
Java proect KT call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,25,Microsoft Functional Testing,Candidate Relationship Management,AWS,6,8,"english, french",full time,11-Analyst,project management,SAP,mca,PH,required,yes,instance,yes
User login issue - client call,Quality Engineering Team Lead,Sourcing & Procurement Services > Vendor Management,11,Business Operation Management,Candidate Relationship Management,Google cloud,8,6,"english, hindi",full time,9-Team Lead/Consultant,Microsoft frontend,google cloud,mba,IN,optional,No,instance,yes
Test team status call,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,3,Stakeholder Management,Amazon Web Services (AWS),Azure,18,11,"english, hindi",full time,11-Analyst,Cloud,management,mca,IN,optional,No,series,yes
people lead connect - discuss queries,Tech Architecture Manager,Software Engineering > Quality Engineering,1,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),front end,7,5,"english, japanese",part time,10-Senior Analyst,Cloud,Azure,mba,IN,optional,No,instance,yes
scrum call SAP project ,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,21,ASP.NET MVC,Culture Strategy,Google cloud,16,8,"english, hindi",full time,11-Analyst,Cloud,management,bca,IN,optional,yes,instance,yes
Agile scrum KT call,Business Interlock Manager,Software Engineering > Packaged Application Development,10,Communications Development and Delivery,IT Troubleshooting,management ,16,12,"english, french",full time,11-Analyst,SAP,Java,mba,US,optional,No,instance,yes
scrum call SAP project ,Business Interlock Manager,Software Engineering > Packaged Application Development,23,Angular,Avanade Scrum Project Management,Google cloud,8,11,"english, hindi",part time,9-Team Lead/Consultant,Microsoft backend,dot net,mca,SL,optional,No,series,yes
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Quality Engineering,16,Advance Front End Development NodeJs,ASP.NET MVC,management ,3,8,"english, chinese",full time,12-Associate,project management,management,btech,IN,required,yes,instance,no
scrum call SAP project ,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,23,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),Azure,19,11,"english, french",full time,8-Associate Manager,Microsoft backend,dot net,mba,PH,optional,yes,instance,yes
weekly status call ,Custom Software Engineering Specialist,Human Resources > Talent Strategy,24,Applications Architecture,Candidate Relationship Management,SAP,16,12,"english, french",part time,12-Associate,Microsoft frontend,SAP,mba,US,optional,yes,instance,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering,9,Microsoft Azure Machine Learning,SAP for Utilities ,front end,3,4,"english, chinese",full time,12-Associate,project management,dot net,bca,IN,required,yes,instance,yes
new vendor onboarding call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,4,Microsoft Functional Testing,Culture Strategy,management ,10,5,"english, hindi",full time,11-Analyst,project management,Azure,mca,PH,required,No,instance,yes
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,12,.NET Architecture,Agile Team Practices,AWS,2,8,"english, chinese",full time,10-Senior Analyst,Microsoft frontend,Java,mba,IN,required,No,series,yes
